serviceType,serviceTitle,description,note,time,season,occurence,occurenceType,price,currency,config,prebookCutOff,Type
Evening Prasadam,Coconut Rice - 1 Kg (Available every Tuesday),Coconut Rice  will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""EVERY_TUESDAY""]","[""WEEKLY""]",300,INR,{},0,Requring
Evening Prasadam,Curd Rice - 1 KG (Available every Wednesday),Curd Rice  will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""EVERY_WEDNESDAY""]","[""WEEKLY""]",300,INR,{},0,Requring
Evening Prasadam,Sundal - 1 Kg (Available every Thursday and Saturday),Sundal  will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""EVERY_THURSDAY"",""EVERY_SATURDAY""]","[""WEEKLY""]",300,INR,{},0,Requring
Evening Prasadam,Puliyodharai - 1 Kg  (Available every Friday),Puliyodharai  will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""EVERY_FRIDAY""]","[""WEEKLY""]",300,INR,{},0,Requring
Evening Prasadam,Nimbu Rice - 1 Kg  (Available every Sunday),Nimbu Rice  will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""EVERY_SUNDAY""]","[""WEEKLY""]",300,INR,{},0,Requring
Special Alankarams,Thanga (Gold) Kavacham for Lord Sri Ramar,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",1000,INR,{},2,Requring
Special Alankarams,Thanga (Gold) Kavacham for Lord Sri Ranganathar,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",1000,INR,{},2,Requring
Special Alankarams,Thanga (Gold) Kavacham for other Sannadhis,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",500,INR,{},2,Requring
Special Alankarams,Thanga (Gold) Kavacham for Sani Bhagawan,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":""""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",250,INR,{},2,Requring
Special Alankarams,Thanga (Gold) Kavacham for Rahu & Ketu,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":""""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",300,INR,{},2,Requring
Special Alankarams,Navaneetha (White butter) Alankaram to Lord Anjaneyar,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""EVERY_TUESDAY"",""EVERY_THURSDAY"",""EVERY_SATURDAY""]","[""WEEKLY""]",750,INR,{},1,Requring
Vastram,Kothanda Ramar Sannidhi,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Kameshwarar Sannidhi,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Kameshwari Sannidhi,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Amrutha Ganapathy,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Sankata Vimochana Hanuman,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Navagraha Sannidhi,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Lord Shanmugar,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Lord Ayappa,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Vidya Ganapathy,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
Vastram,Lord Ranganathar,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],0,INR,{},0,Generic
